hour,eoa,otherContract,stabilityPool,uniswapV2,uniswapV3,curve,d4,ohm,sushi,balancer,optimism,synthetix
2021-04-05T08:00:00+00:00,1163.0989059300000000,15.0000000000000000,15.0000000000000000,2021.9010940700000000,0,0,0,0,0,0,0,0
2021-04-05T09:00:00+00:00,2573.098905930000000000000000000000000000,15.000000000000000000000000000000000000,34.9593590976740893,2001.9417349723259107,0,0,0,0,0,0,0,0
2021-04-05T10:00:00+00:00,2363.098905930000000000000000000000000000,15.000000000000000000000000000000000000,34.9593590976740893,2001.9417349723259107,0,0,0,0,0,0,0,0
2021-04-05T11:00:00+00:00,2482.608976207611728600000000000000000000,23.955223880597014900000000000000000000,34.9593590976740893,1873.4764408141171672,0,0,0,0,0,0,0,0
2021-04-05T12:00:00+00:00,2465.143682049402985100000000000000000000,23.955223880597014900000000000000000000,34.9593590976740893,1890.9417349723259107,0,0,0,0,0,0,0,0
2021-04-05T13:00:00+00:00,2665.143682049402985100000000000000000000,34.455223880597014900000000000000000000,2124.9593590976740893,1890.9417349723259107,0,0,0,0,0,0,0,0
2021-04-05T14:00:00+00:00,179722.482807922835925200000000000000000000,21134.476537917280428600000000000000000000,15495932.5224942022772639,958655.0181599576066811,0,0,0,0,0,0,0,0
2021-04-05T15:00:00+00:00,1089992.264611817541166807000000000000000000,23169.505910187553661100000000000000000000,26510077.38246052170133899300,6151292.3500174732064902,0,0,0,0,0,0,0,0
2021-04-05T16:00:00+00:00,5270172.409852669838634007000000000000000000,73969.971083165025545200000000000000000000,33047848.77260412148640969300,7385399.0394600436514065,0,0,0,0,0,0,0,0
2021-04-05T17:00:00+00:00,822094.031978723998944807000000000000000000,52823.656823360073295100000000000000000000,45544158.06197654599469959300,8807383.5532213699362203,0,0,0,0,0,0,0,0
2021-04-05T18:00:00+00:00,1567589.162956802654311870000000000000000000,140731.880444147252918437000000000000000000,63283553.275321811434650093000000000000000000,13002849.2002772386634740,0,0,0,0,0,0,0,0
2021-04-05T19:00:00+00:00,303934.974933673631448631000000000000000000,159079.238987173014104637000000000000000000,71568912.823974011138598332000000000000000000,13936970.4811051422210733,0,0,0,0,0,0,0,0
2021-04-05T20:00:00+00:00,1048067.936084166313926777000000000000000000,66110.066152063329247391000000000000000000,79134260.469901354744220832000000000000000000,14713829.5468624156188696,0,0,0,0,0,0,0,0
2021-04-05T21:00:00+00:00,753203.910825296628264615000000000000000000,60637.123435012497451353000000000000000000,83947359.485055800450938732000000000000000000,15346654.0196838904320328,0,0,0,0,0,0,0,0
2021-04-05T22:00:00+00:00,652040.533339355387737315000000000000000000,55748.817100771538453153000000000000000000,84906544.393902924328273532000000000000000000,16342511.7946569487536912,0,0,0,0,0,0,0,0
2021-04-05T23:00:00+00:00,5318940.633787929468075767000000000000000000,112391.843916480975645201000000000000000000,92720059.714950557174588932000000000000000000,16049131.34634503238928820000,0,0,0,0,0,0,0,0
2021-04-06T00:00:00+00:00,6238296.533697977775674301000000000000000000,137961.638367684531120067000000000000000000,100002774.390268667566920332000000000000000000,16606856.97666567013284380000,0,0,0,0,0,0,0,0
2021-04-06T01:00:00+00:00,5289838.381925194428248322000000000000000000,127938.140044007457896846000000000000000000,107948792.617247847811012332000000000000000000,17611827.99978295030956040000,0,0,0,0,0,0,0,0
2021-04-06T02:00:00+00:00,6205190.385471679223483985000000000000000000,251639.411347748758080283000000000000000000,135162946.347993337754492232000000000000000000,18735126.99418723427077570000,0,0,0,0,0,0,0,0
2021-04-06T03:00:00+00:00,1373772.518728951427268085000000000000000000,257678.918248925270426083000000000000000000,144696133.124131811822551932000000000000000000,19057030.58789031148741710000,0,0,0,0,0,0,0,0
2021-04-06T04:00:00+00:00,399230.258770206774690033000000000000000000,270056.812086540528224835000000000000000000,149346390.353233078042607332000000000000000000,19697487.72491017466369820000,0,0,0,0,0,0,0,0
2021-04-06T05:00:00+00:00,441541.721187148751360569000000000000000000,353239.692262002145323172000000000000000000,172252957.621906208385296432000000000000000000,19684533.96364464072941940000,0,0,0,0,0,0,0,0
2021-04-06T06:00:00+00:00,448183.491637006944804728000000000000000000,333967.671579796058717913000000000000000000,173537231.786189700430009332000000000000000000,19757103.52959349657615110000,0,0,0,0,0,0,0,0
2021-04-06T07:00:00+00:00,853557.168911618438857857000000000000000000,329514.585697751278018484000000000000000000,175471807.535816849166067432000000000000000000,19569530.18857378112793820000,0,0,0,0,0,0,0,0
2021-04-06T08:00:00+00:00,1429839.546888393859620757000000000000000000,318751.409063772450689284000000000000000000,176426903.795606401619075132000000000000000000,19739129.72744143207996450000,0,0,0,0,0,0,0,0
2021-04-06T09:00:00+00:00,506883.359922263125996827000000000000000000,311428.789726130503085398000000000000000000,175860302.793058572923811648000000000000000000,21424074.53629303345843580000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T10:00:00+00:00,476318.854664792253642750000000000000000000,271070.845442633613616640000000000000000000,179239243.228214681525309983000000000000000000,21697506.55067789261968570000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T11:00:00+00:00,1114972.271890684471140480000000000000000000,268047.171111726779568210000000000000000000,179301401.085659020823050683000000000000000000,21928668.95033856793835640000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T12:00:00+00:00,763330.313951681891583251000000000000000000,103472.003303850473215839000000000000000000,181510578.209958739616860083000000000000000000,22752288.95178572803006350000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T13:00:00+00:00,1210151.858834438259579277000000000000000000,94373.441204118017437313000000000000000000,180374471.842738194175791083000000000000000000,24011573.33622324955808410000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T14:00:00+00:00,1225021.275989367512462977000000000000000000,90067.805895368794770813000000000000000000,179606803.427650717972353583000000000000000000,24838386.81946454573124470000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T15:00:00+00:00,849039.361692035791271477000000000000000000,111387.890682794940832613000000000000000000,184636487.244344933529047583000000000000000000,24665222.43228023575087950000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T16:00:00+00:00,762407.432740789851991977000000000000000000,133340.517014805754218813000000000000000000,190519008.926896554200436283000000000000000000,25104380.05234785020453350000,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T17:00:00+00:00,1866315.832200018989933979000000000000000000,133095.935634092088873219000000000000000000,190840432.940044711882084483000000000000000000,25154542.22112117705011469200,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T18:00:00+00:00,1564755.272840581793988579000000000000000000,147808.977757072618142719000000000000000000,195028888.587718268225589483000000000000000000,25667434.09068407737230549200,0,20000.000000000000,0,0,0,0,0,0
2021-04-06T19:00:00+00:00,1592322.679622137996461979000000000000000000,134722.281177001737086919000000000000000000,194466635.435976720709364283000000000000000000,26774416.53222413956753099200,0,20000.000000000000,0,0,0,0,0,0
